threshold,precision,recall,f1_score,accuracy,TN,FP,FN,TP,predicted_malicious_count,predicted_legitimate_count,confusion_total
0.3,0.943127962085308,0.995,0.9683698296836983,0.9638888888888889,148,12,1,199,211,149,360
0.4,0.9521531100478469,0.995,0.9731051344743277,0.9694444444444444,150,10,1,199,209,151,360
0.5,0.9567307692307693,0.995,0.9754901960784313,0.9722222222222222,151,9,1,199,208,152,360
0.6,0.9754901960784313,0.995,0.9851485148514851,0.9833333333333333,155,5,1,199,204,156,360
0.7,0.979381443298969,0.95,0.9644670050761421,0.9611111111111111,156,4,10,190,194,166,360
